State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,World Total,2020,"1,429,995,404,019"
All States,All Commodities,World Total,2021,"1,757,743,725,422"
All States,All Commodities,World Total,2022,"2,072,648,047,840"
All States,All Commodities,World Total,2023,"2,020,479,165,519"
All States,All Commodities,World Total,2024,"2,061,690,757,601"
All States,All Commodities,World Total,2025,"2,178,488,599,726"
All States,All Commodities,World Total,2026 through January,"186,386,441,751"
All States,All Commodities,Afghanistan,2020,"673,351,754"
All States,All Commodities,Afghanistan,2021,"235,860,951"
All States,All Commodities,Afghanistan,2022,"21,804,032"
All States,All Commodities,Afghanistan,2023,"49,614,889"
All States,All Commodities,Afghanistan,2024,"11,318,431"
All States,All Commodities,Afghanistan,2025,"11,384,917"
All States,All Commodities,Afghanistan,2026 through January,"3,530,626"
All States,All Commodities,Albania,2020,"57,081,023"
All States,All Commodities,Albania,2021,"97,858,317"
All States,All Commodities,Albania,2022,"107,281,618"
All States,All Commodities,Albania,2023,"133,467,411"
All States,All Commodities,Albania,2024,"142,023,919"
All States,All Commodities,Albania,2025,"148,839,453"
All States,All Commodities,Albania,2026 through January,"10,341,647"
All States,All Commodities,Algeria,2020,"734,860,262"
All States,All Commodities,Algeria,2021,"784,365,312"
All States,All Commodities,Algeria,2022,"1,198,312,354"
All States,All Commodities,Algeria,2023,"1,201,767,696"
All States,All Commodities,Algeria,2024,"1,013,822,749"
All States,All Commodities,Algeria,2025,"1,269,379,967"
All States,All Commodities,Algeria,2026 through January,"134,377,913"
All States,All Commodities,Andorra,2020,"3,684,081"
All States,All Commodities,Andorra,2021,"4,690,223"
All States,All Commodities,Andorra,2022,"3,511,455"
All States,All Commodities,Andorra,2023,"6,037,442"
All States,All Commodities,Andorra,2024,"4,733,911"
All States,All Commodities,Andorra,2025,"8,228,805"
All States,All Commodities,Andorra,2026 through January,"264,042"
All States,All Commodities,Angola,2020,"469,951,136"
All States,All Commodities,Angola,2021,"444,932,208"
All States,All Commodities,Angola,2022,"651,399,760"
All States,All Commodities,Angola,2023,"598,567,527"
All States,All Commodities,Angola,2024,"682,415,188"
All States,All Commodities,Angola,2025,"1,177,793,607"
All States,All Commodities,Angola,2026 through January,"50,895,224"
All States,All Commodities,Anguilla,2020,"47,043,939"
All States,All Commodities,Anguilla,2021,"79,692,113"
All States,All Commodities,Anguilla,2022,"86,683,533"
All States,All Commodities,Anguilla,2023,"70,187,661"
All States,All Commodities,Anguilla,2024,"72,473,647"
All States,All Commodities,Anguilla,2025,"100,753,714"
All States,All Commodities,Anguilla,2026 through January,"10,508,655"
All States,All Commodities,Antigua and Barbuda,2020,"290,879,388"
All States,All Commodities,Antigua and Barbuda,2021,"574,286,139"
All States,All Commodities,Antigua and Barbuda,2022,"1,062,911,729"
All States,All Commodities,Antigua and Barbuda,2023,"947,719,350"
All States,All Commodities,Antigua and Barbuda,2024,"567,445,470"
All States,All Commodities,Antigua and Barbuda,2025,"454,619,278"
All States,All Commodities,Antigua and Barbuda,2026 through January,"21,397,335"
All States,All Commodities,Argentina,2020,"5,951,664,813"
All States,All Commodities,Argentina,2021,"7,780,872,209"
All States,All Commodities,Argentina,2022,"12,754,386,137"
All States,All Commodities,Argentina,2023,"11,575,723,798"
All States,All Commodities,Argentina,2024,"9,094,993,684"
All States,All Commodities,Argentina,2025,"9,900,876,295"
All States,All Commodities,Argentina,2026 through January,"889,247,054"
All States,All Commodities,Armenia,2020,"27,928,531"
All States,All Commodities,Armenia,2021,"44,538,182"
All States,All Commodities,Armenia,2022,"194,651,190"
All States,All Commodities,Armenia,2023,"188,659,209"
All States,All Commodities,Armenia,2024,"160,735,315"
